country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","01-03-2026 08:00:00",16.5150833,80.5181667,PM2.5,68,98,85
India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB","01-03-2026 08:00:00",16.5150833,80.5181667,OZONE,3,44,10
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","01-03-2026 08:00:00",14.675886,77.593027,PM2.5,64,80,72
India,Andhra_Pradesh,Anantapur,"Gulzarpet, Anantapur - APPCB","01-03-2026 08:00:00",14.675886,77.593027,SO2,10,11,11
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","01-03-2026 08:00:00",14.465052,78.824187,SO2,13,13,13
India,Andhra_Pradesh,Kadapa,"Yerramukkapalli, Kadapa - APPCB","01-03-2026 08:00:00",14.465052,78.824187,CO,24,34,26
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","01-03-2026 08:00:00",16.9872867,81.7363176,PM2.5,73,116,88
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","01-03-2026 08:00:00",16.9872867,81.7363176,PM10,75,127,93
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","01-03-2026 08:00:00",16.9872867,81.7363176,NO2,10,49,20
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","01-03-2026 08:00:00",16.9872867,81.7363176,NH3,4,8,6
India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB","01-03-2026 08:00:00",16.9872867,81.7363176,CO,24,46,34
India,Assam,Nagaon,"Christianpatty, Nagaon - PCBA","01-03-2026 08:00:00",26.349082,92.68449,SO2,7,15,10
India,Assam,Nalbari,"Bata Chowk, Nalbari - PCBA","01-03-2026 08:00:00",26.446912,91.439057,OZONE,14,17,15
India,Assam,Silchar,"Tarapur, Silchar - PCBA","01-03-2026 08:00:00",24.82827,92.79525,PM10,42,62,51
India,Assam,Silchar,"Tarapur, Silchar - PCBA","01-03-2026 08:00:00",24.82827,92.79525,SO2,5,6,5
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","01-03-2026 08:00:00",26.987634,94.636574,NO2,29,46,36
India,Assam,Sivasagar,"Girls College, Sivasagar - PCBA","01-03-2026 08:00:00",26.987634,94.636574,NH3,5,9,7
India,Bihar,Araria,"Kharahiya Basti, Araria - BSPCB","01-03-2026 08:00:00",26.146529,87.454184,NO2,1,16,5
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","01-03-2026 08:00:00",25.5626095,84.663264,NO2,4,8,7
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","01-03-2026 08:00:00",25.5626095,84.663264,NH3,1,2,2
India,Bihar,Arrah,"New DM Office, Arrah - BSPCB","01-03-2026 08:00:00",25.5626095,84.663264,CO,32,62,51
India,Bihar,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB","01-03-2026 08:00:00",25.859655,85.77944,NH3,1,1,1
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","01-03-2026 08:00:00",26.2271665,84.3570427,NO2,2,2,2
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","01-03-2026 08:00:00",26.2271665,84.3570427,NH3,1,1,1
India,Bihar,Siwan,"Chitragupta Nagar, Siwan - BSPCB","01-03-2026 08:00:00",26.2271665,84.3570427,CO,53,100,65
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","01-03-2026 08:00:00",30.735567,76.775714,NO2,6,66,25
India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC","01-03-2026 08:00:00",30.735567,76.775714,CO,54,88,74
India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC","01-03-2026 08:00:00",30.751462,76.762879,OZONE,4,53,10
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","01-03-2026 08:00:00",30.719859,76.738637,NO2,13,78,35
India,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC","01-03-2026 08:00:00",30.719859,76.738637,NH3,14,20,17
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","01-03-2026 08:00:00",13.67,79.35,SO2,9,17,11
India,Andhra_Pradesh,Tirumala,"Toll Gate, Tirumala - APPCB","01-03-2026 08:00:00",13.67,79.35,OZONE,27,70,55
India,Andhra_Pradesh,Tirupati,"Vaikuntapuram, Tirupati - APPCB","01-03-2026 08:00:00",13.615387,79.409230,NO2,29,32,31
